"Timestamp","BackendPid","CPUSeconds","WorkingSetMB","PrivateMemoryMB","ThreadCount"
"2026-09-03T20:42:23.9457778+07:00","29528","0.406","54.02","65.71","16"
"2026-09-03T20:42:25.0749178+07:00","29528","0.406","54.02","65.71","16"
"2026-09-03T20:42:26.0989427+07:00","29528","0.406","54.02","65.71","16"
"2026-09-03T20:42:27.1158933+07:00","29528","0.438","54.77","65.75","16"
"2026-09-03T20:42:28.1399007+07:00","29528","0.484","60","69.31","16"
"2026-09-03T20:42:29.1680894+07:00","29528","0.672","60.17","68.78","16"
"2026-09-03T20:42:30.1822001+07:00","29528","0.906","61.09","69.57","16"
"2026-09-03T20:42:31.2002478+07:00","29528","1.109","61.52","69.83","16"
"2026-09-03T20:42:32.2166848+07:00","29528","1.359","63.65","69.83","16"
"2026-09-03T20:42:33.2309969+07:00","29528","1.578","65.2","72.62","16"
"2026-09-03T20:42:34.2504293+07:00","29528","1.797","65.67","72.62","16"
"2026-09-03T20:42:35.2764859+07:00","29528","1.969","66.64","73.14","16"
"2026-09-03T20:42:36.2984850+07:00","29528","2.125","67.01","81.05","16"
"2026-09-03T20:42:37.3223704+07:00","29528","2.312","70.41","82.96","16"
"2026-09-03T20:42:38.3415777+07:00","29528","2.516","72.42","83","16"
"2026-09-03T20:42:39.3687562+07:00","29528","2.656","73.32","82.05","16"
"2026-09-03T20:42:40.3806135+07:00","29528","2.875","73.72","83.65","16"
"2026-09-03T20:42:41.3976091+07:00","29528","3.094","73.87","82.43","16"
"2026-09-03T20:42:42.4096422+07:00","29528","3.375","73.79","82.11","16"
"2026-09-03T20:42:43.4372077+07:00","29528","3.5","73.93","82.11","16"
"2026-09-03T20:42:44.4639967+07:00","29528","3.75","73.97","82.13","16"
"2026-09-03T20:42:45.4776314+07:00","29528","3.938","74.06","82.27","16"
"2026-09-03T20:42:46.4898160+07:00","29528","4.109","75.42","100.03","16"
"2026-09-03T20:42:47.5082841+07:00","29528","4.266","77.09","100.03","16"
"2026-09-03T20:42:48.5222653+07:00","29528","4.5","81.33","100.19","16"
"2026-09-03T20:42:49.5359797+07:00","29528","4.656","81.71","100.54","16"
"2026-09-03T20:42:50.5563073+07:00","29528","4.812","83.42","99.73","16"
"2026-09-03T20:42:51.5692521+07:00","29528","5.031","88.36","100.85","16"
"2026-09-03T20:42:52.5910121+07:00","29528","5.234","88.23","100.09","16"
"2026-09-03T20:42:53.6055845+07:00","29528","5.359","88.24","100.02","13"
"2026-09-03T20:42:54.6225269+07:00","29528","5.516","87.99","99.62","13"
"2026-09-03T20:42:55.6437040+07:00","29528","5.781","60.64","67.57","13"
"2026-09-03T20:42:56.6626099+07:00","29528","6","58.89","64.03","13"
"2026-09-03T20:42:57.6895206+07:00","29528","6.156","60.92","66.23","13"
"2026-09-03T20:42:58.7017577+07:00","29528","6.406","61.59","67.06","13"
"2026-09-03T20:42:59.7166405+07:00","29528","6.609","63.62","72.84","13"
"2026-09-03T20:43:00.7339952+07:00","29528","6.734","66.31","72.85","13"
"2026-09-03T20:43:01.7488604+07:00","29528","6.859","66.64","73.38","13"
"2026-09-03T20:43:02.7641967+07:00","29528","7","66.37","72.91","13"
"2026-09-03T20:43:03.7739941+07:00","29528","7.281","67.23","82.26","13"
"2026-09-03T20:43:04.7892602+07:00","29528","7.469","69.2","83.33","13"
"2026-09-03T20:43:05.8104096+07:00","29528","7.656","71.01","83.46","13"
"2026-09-03T20:43:06.8306033+07:00","29528","7.875","73.8","83.05","13"
"2026-09-03T20:43:07.8512888+07:00","29528","8.078","73.77","82.8","13"
"2026-09-03T20:43:08.8696682+07:00","29528","8.312","73.88","82.93","13"
"2026-09-03T20:43:09.8984447+07:00","29528","8.547","73.42","82.12","13"
"2026-09-03T20:43:10.9126438+07:00","29528","8.703","73.53","82.29","13"
"2026-09-03T20:43:11.9315827+07:00","29528","8.875","73.74","82.68","13"
"2026-09-03T20:43:12.9439998+07:00","29528","8.938","73.88","82.77","13"
"2026-09-03T20:43:13.9610610+07:00","29528","8.938","73.88","82.77","13"
"2026-09-03T20:43:14.9807432+07:00","29528","8.938","73.88","82.77","13"
